                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1721,                 4.6433,                 3.1592,                 2.1455,                0.31467,                 0.1982,                0.18986,                0.05464,                  8e-05,                0.02703,                  5e-05,                  1e-05,                 2.7032,                 4.1002,                 3.6672,                 3.0019,             0.00065455,             0.00065455,             0.00065455
                      2,                 1.9979,                 3.4623,                 2.5767,                   1.91,                0.11524,                 0.3964,                0.11537,                0.03878,                0.00301,                0.01802,                  9e-05,                  1e-05,                 2.3288,                  3.732,                 15.076,                  2.939,              0.0013081,              0.0013081,              0.0013081
                      3,                 1.9187,                 3.3945,                  2.288,                 1.8402,                0.26803,                0.30631,                 0.1773,                0.06088,                0.03206,                0.00901,                0.00079,                  9e-05,                 2.5554,                 4.6751,                 5.3094,                 2.6301,              0.0019485,              0.0019485,              0.0019485
                      4,                 1.9536,                 3.3642,                 2.0849,                  1.846,                0.29637,                 0.4955,                0.24445,                0.08338,                0.00597,                0.01802,                0.00015,                  2e-05,                 2.2934,                 3.7386,                 5.3494,                 2.4836,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9107,                 3.3106,                  1.922,                 1.8093,                0.46738,                0.45061,                0.38991,                 0.1112,                0.01687,                0.02703,                0.00136,                0.00019,                 2.3513,                 4.1248,                 2.2516,                 2.5846,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.837,                 3.2982,                 1.8107,                 1.7387,                0.41844,                0.51209,                0.42362,                 0.1464,                0.18864,                0.02703,                0.01023,                0.00215,                 2.1913,                  3.175,                 2.0257,                 2.2795,               0.001901,               0.001901,               0.001901
                      7,                 1.8094,                 3.2074,                 1.7755,                 1.7126,                0.49115,                0.56757,                0.56422,                0.21366,                0.13703,                0.06306,                0.01465,                0.00249,                 2.0889,                 3.1267,                 1.6901,                 2.2183,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7942,                  3.213,                 1.6713,                 1.6981,                 0.5806,                0.59459,                0.57579,                 0.2237,                0.11235,                0.08108,                 0.0158,                0.00245,                 2.0503,                  3.013,                  1.811,                 2.1236,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7898,                 3.2396,                 1.6739,                 1.6888,                0.59721,                0.52252,                0.58437,                0.23897,                0.04542,                0.04505,                0.00407,                0.00079,                 2.1231,                 2.9417,                 1.6436,                 2.1695,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7817,                 3.1914,                 1.6081,                 1.6822,                0.57374,                0.64269,                0.64749,                0.28289,                0.11752,                0.09009,                0.01601,                0.00282,                 2.0355,                 2.9076,                 1.5918,                 2.1086,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.756,                 3.1442,                 1.6466,                 1.6864,                0.61648,                0.59374,                0.60571,                0.25619,                0.10711,                 0.0991,                0.01587,                0.00378,                 1.9454,                 2.9588,                 1.7484,                  2.052,               0.001802,               0.001802,               0.001802
                     12,                 1.7305,                 3.1656,                 1.5818,                 1.6401,                  0.617,                0.57658,                0.62927,                0.27957,                0.05693,                0.06306,                0.00749,                0.00112,                 2.0161,                 2.9977,                 1.6527,                 2.1409,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7299,                 3.1397,                 1.5842,                 1.6391,                0.71087,                0.73097,                0.77786,                0.34047,                0.07921,                0.08108,                0.01337,                0.00254,                 1.9409,                 2.8907,                 1.3145,                  1.948,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6807,                 3.1645,                 1.5374,                 1.6099,                0.72526,                0.68468,                0.73497,                0.35159,                0.08983,                0.05405,                0.00923,                0.00201,                 1.8681,                 2.8709,                 1.4576,                 2.0022,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.636,                 3.1073,                 1.4771,                 1.5875,                0.50599,                0.47748,                0.46223,                0.16844,                0.07714,                0.10811,                0.01423,                0.00244,                  2.046,                 2.9203,                 1.8606,                 2.0743,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7033,                 3.1253,                 1.5519,                 1.6444,                0.78909,                0.64041,                0.70932,                  0.349,                0.12931,                0.11712,                0.02119,                0.00331,                 1.8128,                 2.9304,                 1.6267,                 1.9347,               0.001703,               0.001703,               0.001703
                     17,                 1.6688,                 3.0929,                 1.4559,                 1.6039,                 0.6923,                0.75676,                0.74407,                0.32432,                0.09997,                0.11712,                0.02521,                0.00326,                 1.9542,                 3.0296,                 1.4865,                 2.0717,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6334,                 3.1163,                  1.428,                 1.5953,                0.70554,                0.66667,                0.71789,                0.34482,                0.10405,                0.08108,                0.01488,                0.00278,                 1.8764,                 2.8352,                 1.4026,                 1.9151,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6048,                 3.0363,                 1.4053,                 1.5665,                0.73801,                 0.6852,                0.74936,                0.37107,                 0.1572,                0.12613,                0.02937,                0.00511,                 1.8009,                 2.8115,                 1.2908,                 1.8881,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.5677,                 3.1011,                  1.371,                 1.5614,                0.78983,                0.63063,                0.77105,                  0.398,                0.09058,                0.06306,                0.01048,                0.00187,                 1.7104,                 2.8759,                 1.2872,                 1.8088,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5764,                 2.9903,                 1.3743,                 1.5421,                0.73197,                0.63964,                0.69948,                0.35563,                0.08842,                0.08108,                0.01192,                0.00184,                 1.8351,                 2.8347,                  1.308,                   1.94,               0.001604,               0.001604,               0.001604
                     22,                 1.6011,                 3.0118,                 1.3866,                 1.5509,                0.89069,                0.66667,                0.80614,                0.41594,                0.16593,                0.13514,                0.03464,                0.00644,                 1.7157,                 2.7829,                 1.3282,                 1.8434,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.613,                 3.0489,                  1.357,                  1.556,                0.82646,                0.71171,                0.77104,                0.37422,                0.13123,                0.14414,                0.02955,                0.00581,                 1.8011,                 2.7666,                 1.2774,                 1.8921,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.5434,                 2.9502,                 1.3203,                 1.5495,                0.84568,                 0.6912,                0.78307,                0.40325,                0.15412,                0.12613,                0.03568,                0.00682,                 1.7427,                  2.833,                 1.2463,                 1.8369,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5266,                 3.0375,                 1.3171,                 1.5204,                0.80844,                0.74775,                0.81091,                0.39913,                0.11915,                0.15315,                0.03183,                 0.0052,                 1.7779,                 2.8002,                  1.184,                 1.8843,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5204,                 3.0578,                 1.2737,                 1.5073,                0.89255,                0.67356,                0.79098,                0.42422,                0.14963,                0.11712,                0.02251,                0.00412,                 1.6293,                 2.7888,                 1.1981,                 1.7586,               0.001505,               0.001505,               0.001505
                     27,                  1.502,                 3.0265,                 1.2611,                 1.5052,                  0.868,                0.59244,                0.75351,                0.38129,                0.16311,                0.12613,                0.03268,                0.00475,                 1.7284,                 2.7689,                 1.2812,                 1.8339,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.5518,                 3.0321,                 1.2803,                 1.5327,                0.74286,                0.75676,                 0.7948,                0.43146,                 0.1366,                0.18018,                0.05446,                0.00936,                 1.6992,                 2.8141,                 1.1404,                  1.843,              0.0014654,              0.0014654,              0.0014654
